;SYMBOL;MAP;chromosome_name
ENSG00000164113;ADAD1;4q27;4
ENSG00000267511;ADAD1P2;18q21.1;18
ENSG00000140955;ADAD2;16q24.1;16
ENSG00000168803;ADAL;15q15.3;15
ENSG00000137845;ADAM10;15q21.3;15
ENSG00000073670;ADAM11;17q21.31;17
ENSG00000148848;ADAM12;10q26.2;10
ENSG00000143537;ADAM15;1q21.3;1
ENSG00000151694;ADAM17;2p25.1;2
ENSG00000168619;ADAM18;8p11.22;8
ENSG00000135074;ADAM19;5q33.3;5
ENSG00000226469;ADAM1B;12q24.13;12
ENSG00000104755;ADAM2;8p11.22;8
ENSG00000134007;ADAM20;14q24.2;14
ENSG00000259158;ADAM20P1;14q24.2;14
ENSG00000249162;ADAM20P3;4q35.2;4
ENSG00000139985;ADAM21;14q24.2;14
ENSG00000235812;ADAM21P1;14q24.2;14
ENSG00000008277;ADAM22;7q21.12;7
ENSG00000114948;ADAM23;2q33.3;2
ENSG00000214607;ADAM24P;8p22;8
ENSG00000042980;ADAM28;8p21.2;8
ENSG00000168594;ADAM29;4q34.1;4
ENSG00000134249;ADAM30;1p12;1
ENSG00000197140;ADAM32;8p11.22;8
ENSG00000149451;ADAM33;20p13;20
ENSG00000197475;ADAM3A;8p11.22;8
ENSG00000260089;ADAM3B;16q12.1;16
ENSG00000196115;ADAM5;8p11.22;8
ENSG00000271968;ADAM6;14q32.33;14
ENSG00000069206;ADAM7;8p21.2;8
ENSG00000253643;ADAM7-AS2;8p21.2;8
ENSG00000151651;ADAM8;10q26.3;10
ENSG00000168615;ADAM9;8p11.22;8
ENSG00000134028;ADAMDEC1;8p21.2;8
ENSG00000154734;ADAMTS1;21q21.3;21
ENSG00000142303;ADAMTS10;19p13.2;19
ENSG00000151388;ADAMTS12;5p13.3-p13.2;5
ENSG00000160323;ADAMTS13;9q34.2;9
ENSG00000138316;ADAMTS14;10q22.1;10
ENSG00000166106;ADAMTS15;11q24.3;11
ENSG00000145536;ADAMTS16;5p15.32;5
ENSG00000250579;ADAMTS16-DT;5p15.32;5
ENSG00000140470;ADAMTS17;15q26.3;15
ENSG00000140873;ADAMTS18;16q23.1;16
ENSG00000145808;ADAMTS19;5q23.3;5
ENSG00000249421;ADAMTS19-AS1;5q23.3;5
ENSG00000087116;ADAMTS2;5q35.3;5
ENSG00000173157;ADAMTS20;12q12;12
ENSG00000156140;ADAMTS3;4q13.3;4
ENSG00000158859;ADAMTS4;1q23.3;1
ENSG00000154736;ADAMTS5;21q21.3;21
ENSG00000049192;ADAMTS6;5q12.3;5
ENSG00000136378;ADAMTS7;15q25.1;15
ENSG00000274376;ADAMTS7P1;15q25.2;15
ENSG00000261143;ADAMTS7P3;15q24.3;15
ENSG00000218052;ADAMTS7P4;15q25.3;15
ENSG00000134917;ADAMTS8;11q24.3;11
ENSG00000163638;ADAMTS9;3p14.1;3
ENSG00000241158;ADAMTS9-AS1;3p14.1;3
ENSG00000241684;ADAMTS9-AS2;3p14.1;3
ENSG00000178031;ADAMTSL1;9p22.2-p22.1;9
ENSG00000197859;ADAMTSL2;9q34.2;9
ENSG00000156218;ADAMTSL3;15q25.2;15
ENSG00000143382;ADAMTSL4;1q21.2;1
ENSG00000185761;ADAMTSL5;19p13.3;19
ENSG00000105963;ADAP1;7p22.3;7
ENSG00000184060;ADAP2;17q11.2;17
ENSG00000160710;ADAR;1q21.3;1
ENSG00000197381;ADARB1;21q22.3;21
ENSG00000185736;ADARB2;10p15.3;10
ENSG00000205696;ADARB2-AS1;10p15.3;10
ENSG00000065457;ADAT1;16q23.1;16
ENSG00000189007;ADAT2;6q24.2;6
ENSG00000213638;ADAT3;19p13.3;19
ENSG00000063761;ADCK1;14q24.3;14
ENSG00000133597;ADCK2;7q34;7
ENSG00000173137;ADCK5;8q24.3;8
ENSG00000164742;ADCY1;7p12.3;7
ENSG00000143199;ADCY10;1q24.2;1
ENSG00000161912;ADCY10P1;6p21.1;6
ENSG00000078295;ADCY2;5p15.31;5
ENSG00000138031;ADCY3;2p23.3;2
ENSG00000129467;ADCY4;14q12;14
ENSG00000173175;ADCY5;3q21.1;3
ENSG00000174233;ADCY6;12q13.12;12
ENSG00000257660;ADCY6-DT;12q13.12;12
ENSG00000121281;ADCY7;16q12.1;16
ENSG00000155897;ADCY8;8q24.22;8
ENSG00000162104;ADCY9;16p13.3;16
ENSG00000141433;ADCYAP1;18p11.32;18
ENSG00000078549;ADCYAP1R1;7p14.3;7
ENSG00000087274;ADD1;4p16.3;4
ENSG00000075340;ADD2;2p13.3;2
ENSG00000148700;ADD3;10q25.1-q25.2;10
ENSG00000203876;ADD3-AS1;10q25.1;10
ENSG00000118492;ADGB;6q24.3;6
ENSG00000237468;ADGB-DT;6q24.3;6
ENSG00000197177;ADGRA1;10q26.3;10
ENSG00000020181;ADGRA2;8p11.23;8
ENSG00000152990;ADGRA3;4p15.2;4
ENSG00000181790;ADGRB1;8q24.3;8
ENSG00000121753;ADGRB2;1p35.2;1
ENSG00000135298;ADGRB3;6q12-q13;6
ENSG00000111452;ADGRD1;12q24.33;12
ENSG00000180264;ADGRD2;9q33.3;9
ENSG00000174837;ADGRE1;19p13.3-p13.2;19
ENSG00000127507;ADGRE2;19p13.12;19
ENSG00000131355;ADGRE3;19p13.12;19
ENSG00000268758;ADGRE4P;19p13.2;19
ENSG00000123146;ADGRE5;19p13.12;19
ENSG00000153292;ADGRF1;6p12.3;6
ENSG00000164393;ADGRF2;6p12.3;6
ENSG00000173567;ADGRF3;2p23.3;2
ENSG00000153294;ADGRF4;6p12.3;6
ENSG00000069122;ADGRF5;6p12.3;6
ENSG00000227582;ADGRF5P1;9q13;9
ENSG00000205336;ADGRG1;16q21;16
ENSG00000173698;ADGRG2;Xp22.13;X
ENSG00000182885;ADGRG3;16q21;16
ENSG00000156920;ADGRG4;Xq26.3;X
ENSG00000159618;ADGRG5;16q21;16
ENSG00000112414;ADGRG6;6q24.2;6
ENSG00000144820;ADGRG7;3q12.2;3
ENSG00000072071;ADGRL1;19p13.12;19
ENSG00000267169;ADGRL1-AS1;19p13.12;19
ENSG00000117114;ADGRL2;1p31.1;1
ENSG00000150471;ADGRL3;4q13.1;4
ENSG00000162618;ADGRL4;1p31.1;1
ENSG00000164199;ADGRV1;5q14.3;5
ENSG00000187758;ADH1A;4q23;4
ENSG00000196616;ADH1B;4q23;4
ENSG00000248144;ADH1C;4q23;4
ENSG00000198099;ADH4;4q23;4
ENSG00000197894;ADH5;4q23;4
ENSG00000232676;ADH5P2;1p31.1;1
ENSG00000223694;ADH5P3;1q43;1
ENSG00000234865;ADH5P5;5p14.2;5
ENSG00000172955;ADH6;4q23;4
ENSG00000196344;ADH7;4q23;4
ENSG00000147576;ADHFE1;8q13.1;8
ENSG00000182551;ADI1;2p25.3;2
ENSG00000258369;ADI1P3;12q13.11;12
ENSG00000182035;ADIG;20q11.23;20
ENSG00000181092;ADIPOQ;3q27.3;3
ENSG00000226482;ADIPOQ-AS1;3q27.3;3
ENSG00000159346;ADIPOR1;1q32.1;1
ENSG00000006831;ADIPOR2;12p13.33;12
ENSG00000148671;ADIRF;10q23.2;10
ENSG00000156110;ADK;10q22.2;10
ENSG00000148926;ADM;11p15.4;11
ENSG00000128165;ADM2;22q13.33;22
ENSG00000224420;ADM5;19q13.33;19
ENSG00000101126;ADNP;20q13.13;20
ENSG00000259456;ADNP-AS1;20q13.13;20
ENSG00000101544;ADNP2;18q23;18
ENSG00000181915;ADO;10q21.3;10
ENSG00000163485;ADORA1;1q32.1;1
ENSG00000128271;ADORA2A;22q11.23;22
ENSG00000178803;ADORA2A-AS1;22q11.23;22
ENSG00000170425;ADORA2B;17p12;17
ENSG00000282608;ADORA3;1p13.2;1
ENSG00000159322;ADPGK;15q24.1;15
ENSG00000260898;ADPGK-AS1;15q24.1;15
ENSG00000144843;ADPRH;3q13.33;3
ENSG00000153531;ADPRHL1;13q34;13
ENSG00000170222;ADPRM;17p13.1;17
ENSG00000116863;ADPRS;1p34.3;1
ENSG00000120907;ADRA1A;8p21.2;8
ENSG00000170214;ADRA1B;5q33.3;5
ENSG00000171873;ADRA1D;20p13;20
ENSG00000150594;ADRA2A;10q25.2;10
ENSG00000274286;ADRA2B;2q11.2;2
ENSG00000184160;ADRA2C;4p16.3;4
ENSG00000043591;ADRB1;10q25.3;10
ENSG00000169252;ADRB2;5q32;5
ENSG00000188778;ADRB3;8p11.23;8
ENSG00000130706;ADRM1;20q13.33;20
ENSG00000239900;ADSL;22q13.1;22
ENSG00000185100;ADSS1;14q32.33;14
ENSG00000035687;ADSS2;1q44;1
ENSG00000111863;ADTRP;6p24.1;6
ENSG00000106624;AEBP1;7p13;7
ENSG00000139154;AEBP2;12p12.3;12
ENSG00000181026;AEN;15q26.1;15
ENSG00000196526;AFAP1;4p16.1;4
ENSG00000272620;AFAP1-AS1;4p16.1;4
ENSG00000157510;AFAP1L1;5q32;5
ENSG00000169129;AFAP1L2;10q25.3;10
ENSG00000130396;AFDN;6q27;6
ENSG00000172493;AFF1;4q21.3-q22.1;4
ENSG00000155966;AFF2;Xq28;X
ENSG00000144218;AFF3;2q11.2;2
ENSG00000072364;AFF4;5q31.1;5
ENSG00000135537;AFG1L;6q21;6
ENSG00000223959;AFG3L1P;16q24.3;16
ENSG00000141385;AFG3L2;18p11.21;18
ENSG00000079557;AFM;4q13.3;4
ENSG00000183077;AFMID;17q25.3;17
ENSG00000081051;AFP;4q13.3;4
ENSG00000119844;AFTPH;2p14;2
ENSG00000260101;AFTPH-DT;2p14;2
ENSG00000038002;AGA;4q34.3;4
ENSG00000157985;AGAP1;2q37.2;2
ENSG00000235529;AGAP1-IT1;2q37.2;2
ENSG00000271880;AGAP11;10q23.2;10
ENSG00000265018;AGAP12P;10q11.22;10
ENSG00000135439;AGAP2;12q14.1;12
ENSG00000255737;AGAP2-AS1;12q14.1;12
ENSG00000133612;AGAP3;7q36.1;7
ENSG00000188234;AGAP4;10q11.22;10
ENSG00000172650;AGAP5;10q22.2;10
ENSG00000204149;AGAP6;10q11.23;10
ENSG00000204172;AGAP9;10q11.22;10
ENSG00000273540;AGBL1;15q25.3;15
ENSG00000260125;AGBL1-AS1;15q25.3;15
ENSG00000165923;AGBL2;11p11.2;11
ENSG00000146856;AGBL3;7q33;7
ENSG00000186094;AGBL4;1p33;1
ENSG00000230114;AGBL4-AS1;1p33;1
ENSG00000225623;AGBL4-IT1;1p33;1
ENSG00000084693;AGBL5;2p23.3;2
ENSG00000231636;AGBL5-AS1;2p23.3;2
ENSG00000204305;AGER;6p21.32;6
ENSG00000173744;AGFG1;2q36.3;2
ENSG00000106351;AGFG2;7q22.1;7
ENSG00000164252;AGGF1;5q13.3;5
ENSG00000261689;AGGF1P4;16p11.1;16
ENSG00000259836;AGGF1P6;16p11.1;16
ENSG00000260994;AGGF1P7;16p11.1;16
ENSG00000261752;AGGF1P8;16p11.2;16
ENSG00000260427;AGGF1P9;16p11.1;16
ENSG00000006530;AGK;7q34;7
ENSG00000226555;AGKP1;Yq11.221;Y
ENSG00000228819;AGKP2;Xq26.2;X
ENSG00000162688;AGL;1p21.2;1
ENSG00000116771;AGMAT;1p36.21;1
ENSG00000187546;AGMO;7p21.2;7
ENSG00000092847;AGO1;1p34.3;1
ENSG00000123908;AGO2;8q24.3;8
ENSG00000126070;AGO3;1p34.3;1
ENSG00000134698;AGO4;1p34.3;1
ENSG00000204310;AGPAT1;6p21.32;6
ENSG00000169692;AGPAT2;9q34.3;9
ENSG00000160216;AGPAT3;21q22.3;21
ENSG00000026652;AGPAT4;6q26;6
ENSG00000155189;AGPAT5;8p23.1;8
ENSG00000234652;AGPAT5P1;Yp11.2;Y
ENSG00000018510;AGPS;2q31.2;2
ENSG00000106541;AGR2;7p21.1;7
ENSG00000173467;AGR3;7p21.1;7
ENSG00000188157;AGRN;1p36.33;1
ENSG00000159723;AGRP;16q22.1;16
ENSG00000135744;AGT;1q42.2;1
ENSG00000135049;AGTPBP1;9q21.33;9
ENSG00000144891;AGTR1;3q24;3
ENSG00000180772;AGTR2;Xq23;X
ENSG00000177674;AGTRAP;1p36.22;1
ENSG00000172482;AGXT;2q37.3;2
ENSG00000113492;AGXT2;5p13.2;5
ENSG00000153207;AHCTF1;1q44;1
ENSG00000101444;AHCY;20q11.22;20
ENSG00000168710;AHCYL1;1p13.3;1
ENSG00000158467;AHCYL2;7q32.1;7
ENSG00000238181;AHCYP2;9q33.2;9
ENSG00000233955;AHCYP3;2q12.1;2
ENSG00000232992;AHCYP4;2q22.1;2
ENSG00000213107;AHCYP5;2q32.3;2
ENSG00000259465;AHCYP7;15q21.2;15
ENSG00000126705;AHDC1;1p36.11-p35.3;1
ENSG00000135541;AHI1;6q23.3;6
ENSG00000231028;AHI1-DT;6q23.3;6
ENSG00000124942;AHNAK;11q12.3;11
ENSG00000185567;AHNAK2;14q32.33;14
ENSG00000106546;AHR;7p21.1;7
ENSG00000063438;AHRR;5p15.33;5
ENSG00000100591;AHSA1;14q24.3;14
ENSG00000173209;AHSA2P;2p15;2
ENSG00000145192;AHSG;3q27.3;3
ENSG00000169877;AHSP;16p11.2;16
ENSG00000111732;AICDA;12p13.31;12
ENSG00000186063;AIDA;1q41;1
ENSG00000251429;AIDAP2;4q32.1;4
ENSG00000204472;AIF1;6p21.33;6
ENSG00000126878;AIF1L;9q34.12-q34.13;9
ENSG00000156709;AIFM1;Xq26.1;X
ENSG00000225509;AIFM1P1;10p12.31;10
ENSG00000042286;AIFM2;10q22.1;10
ENSG00000183773;AIFM3;22q11.21;22
ENSG00000146416;AIG1;6q24.2;6
ENSG00000249089;AIG1P1;5p13.1;5
ENSG00000163568;AIM2;1q23.1;1
ENSG00000164022;AIMP1;4q24;4
ENSG00000234187;AIMP1P1;20p12.1;20
ENSG00000106305;AIMP2;7p22.1;7
ENSG00000110711;AIP;11q13.2;11
